"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002443","leukocyte mediated immunity","33/634","485/18986",0.0680412371134021,2.03758821425087,4.30235782062016,9.48789513744493e-05,0.0143883054073133,0.0134777083292757,"909/1113/2215/3500/3501/28468/28464/28461/28458/102723169/28455/102723168/28450/28449/28448/28445/28442/28439/28426/28424/28423/28414/28452/28409/28391/28386/28388/28385/57289/3514/3952/374383/5443",33
"GO:0003012","muscle system process","32/634","465/18986",0.0688172043010753,2.06082561649876,4.30473566394142,9.78540257886858e-05,0.0143883054073133,0.0134777083292757,"32/58/89/183/477/783/1113/1131/1146/1674/2668/2852/30819/3952/4607/4619/4620/4624/4625/29895/4653/9499/10316/5020/22953/5468/53632/6323/342667/8557/7136/10345",32
"GO:0060986","endocrine hormone secretion","9/634","58/18986",0.155172413793103,4.64685086478843,5.16996813185005,0.000120335858540293,0.0170027846317713,0.0159267242086777,"183/185/1393/3623/3952/4986/5443/5468/56729",9
"GO:0006721","terpenoid metabolic process","12/634","100/18986",0.12,3.59356466876972,4.83320613438856,0.000124529942372377,0.0170027846317713,0.0159267242086777,"124/125/126/127/131/441282/1645/10170/3991/5950/8608/5959",12
"GO:0033275","actin-myosin filament sliding","5/634","16/18986",0.3125,9.35824132492113,6.21655043619393,0.000131423429509284,0.0173252334832411,0.016228766141219,"4607/4620/4624/4625/29895",5
"GO:0006936","muscle contraction","26/634","358/18986",0.0726256983240224,2.17487619618279,4.17117809255279,0.000186887063054959,0.0238156414019703,0.0223084136320341,"58/89/477/783/1113/1131/1146/1674/2668/2852/30819/4607/4619/4620/4624/4625/29895/9499/10316/5020/22953/6323/342667/8557/7136/10345",26
"GO:0046879","hormone secretion","24/634","319/18986",0.0752351097178683,2.25301860110954,4.194921375474,0.000193436075045328,0.0238550359644609,0.0223453150188185,"130399/111/9370/183/185/1113/1131/1393/2243/2244/2266/2740/2852/3623/3952/4826/4986/5443/5468/5950/56729/6616/7200/100507043",24
"GO:0051047","positive regulation of secretion","24/634","322/18986",0.0745341614906832,2.23202774457746,4.14432962537039,0.000222459639153643,0.0256790595792653,0.0240539010941148,"27063/650/1131/2243/2244/2266/2668/2852/3623/90070/3952/4826/4881/4986/5020/5122/5468/5950/56729/6279/6616/6860/7200/100507043",24
"GO:0042742","defense response to bacterium","25/634","342/18986",0.0730994152046784,2.18906229822717,4.12435789342176,0.000223569966060606,0.0256790595792653,0.0240539010941148,"51297/6364/948/1113/117159/400830/1755/2243/2244/163351/3500/3501/354/25818/3853/90070/3929/3960/374383/8993/57115/5266/6279/6280/7018",25
"GO:0042391","regulation of membrane potential","31/634","466/18986",0.0665236051502146,1.99214064255832,4.0304537064026,0.000228377720558468,0.0256790595792653,0.0240539010941148,"340273/153/183/40/477/783/948/55584/1146/23316/2273/2556/2562/2567/55879/200959/8001/2852/2890/30819/3775/3777/4653/4693/9378/22953/64208/6323/124925/8671/10345",31
"GO:0023061","signal release","32/634","493/18986",0.0649087221095335,1.94378075389843,3.94638199408159,0.000281857836095662,0.0307869287826776,0.0288385070194719,"130399/111/9370/183/185/1113/1131/1393/2243/2244/2266/2668/2740/2852/3623/3952/4129/4826/9378/4986/5020/5443/5468/8499/5950/56729/6616/6853/6860/7200/100507043/23025",32
"GO:0009914","hormone transport","24/634","330/18986",0.0727272727272727,2.17791798107256,4.01209293365135,0.000319508081225059,0.0339299831812056,0.0317826459744927,"130399/111/9370/183/185/1113/1131/1393/2243/2244/2266/2740/2852/3623/3952/4826/4986/5443/5468/5950/56729/6616/7200/100507043",24
"GO:0006805","xenobiotic metabolic process","13/634","127/18986",0.102362204724409,3.06537668595842,4.34060263787264,0.000330217171554417,0.0341194661311496,0.0319601370591217,"13/1244/1645/218/590/1553/1548/1549/1555/10249/6799/10720/54490",13
"GO:0071466","cellular response to xenobiotic stimulus","17/634","198/18986",0.0858585858585859,2.57115317209954,4.13065644518001,0.000362983830089767,0.0365105140211932,0.034199861971199,"13/1244/9370/1645/218/27063/40/590/1393/1553/1548/1549/1555/10249/6799/10720/54490",17
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","21/634","274/18986",0.0766423357664234,2.29515991618504,4.01371749452263,0.000372458814236603,0.0365105140211932,0.034199861971199,"107/111/153/1113/1131/2740/9340/346562/2852/2849/8549/8685/2847/4986/5140/5443/5567/768239/5731/10268/6344",21
"GO:0046887","positive regulation of hormone secretion","14/634","147/18986",0.0952380952380952,2.85203545140454,4.18974189350639,0.000416802503096188,0.038931105419737,0.0364672606627325,"1131/2243/2244/2266/2852/3623/3952/4826/5468/5950/56729/6616/7200/100507043",14
"GO:0034587","piRNA processing","5/634","20/18986",0.25,7.48659305993691,5.39451005832053,0.000417519048446041,0.038931105419737,0.0364672606627325,"84944/154197/56165/91646/122402",5
"GO:0003015","heart process","20/634","262/18986",0.0763358778625954,2.28598261372119,3.89578208265046,0.000535516726757127,0.0487447725331546,0.0456598472287655,"153/183/477/491/783/1113/1674/2740/27129/30819/4607/4624/4625/5020/10268/6323/6445/8557/7136/10345",20
"GO:0014888","striated muscle adaptation","8/634","57/18986",0.140350877192982,4.20299961259616,4.50130776570822,0.000576833707752243,0.0512845410403913,0.0480388806309212,"32/58/89/4624/4625/4653/5468/8557",8
"GO:1903522","regulation of blood circulation","20/634","267/18986",0.0749063670411985,2.24317395054289,3.80237056462329,0.000679421157683664,0.054932588195937,0.0514560527121378,"153/183/185/40/477/491/783/1113/1674/2243/2244/2266/2740/27129/30819/3952/4624/4625/5020/10345",20
"GO:0006720","isoprenoid metabolic process","12/634","120/18986",0.1,2.99463722397476,4.07401718838805,0.000683485859490941,0.054932588195937,0.0514560527121378,"124/125/126/127/131/441282/1645/10170/3991/5950/8608/5959",12
"GO:0141176","gene silencing by piRNA-directed DNA methylation","4/634","13/18986",0.307692307692308,9.21426838146081,5.50656525905012,0.000692211139585578,0.054932588195937,0.0514560527121378,"84944/56165/91646/122402",4
"GO:0141196","retrotransposon silencing by piRNA-directed DNA methylation","4/634","13/18986",0.307692307692308,9.21426838146081,5.50656525905012,0.000692211139585578,0.054932588195937,0.0514560527121378,"84944/56165/91646/122402",4
"GO:0045109","intermediate filament organization","9/634","73/18986",0.123287671232877,3.69201849531135,4.28319145607029,0.000704079733612585,0.054932588195937,0.0514560527121378,"1674/3848/3860/54474/3881/3853/338785/3887/3892",9
"GO:0060415","muscle tissue morphogenesis","9/634","73/18986",0.123287671232877,3.69201849531135,4.28319145607029,0.000704079733612585,0.054932588195937,0.0514560527121378,"27063/650/4607/4618/4624/4625/29895/8557/129446",9
"GO:0009308","amine metabolic process","12/634","121/18986",0.0991735537190083,2.96988815600803,4.04030432862834,0.000736232311981226,0.0562923225740846,0.0527297331654765,"26/8639/85300/3067/3642/4128/4129/4881/5409/6799/6999/7200",12
"GO:1901616","organic hydroxy compound catabolic process","8/634","60/18986",0.133333333333333,3.99284963196635,4.31558161322284,0.000818306347072736,0.0613190405481791,0.0574383237041468,"127/6718/1591/54363/197257/4128/4129/6799",8
"GO:0032253","dense core granule localization","5/634","23/18986",0.217391304347826,6.51008092168427,4.91446902216058,0.000834054435915594,0.0613190405481791,0.0574383237041468,"3798/8499/6616/6860/23025",5
"GO:0050708","regulation of protein secretion","20/634","272/18986",0.0735294117647059,2.20193913527556,3.71100760993114,0.000855582442893766,0.061714937343073,0.057809165257688,"130399/111/27063/1113/1131/2243/2244/2266/2852/54474/3952/4826/5122/5468/5950/6288/6616/6860/7200/100507043",20
"GO:0060047","heart contraction","19/634","253/18986",0.075098814229249,2.24893704567275,3.7171096392652,0.000888394019873522,0.0628950062588236,0.0589145507916125,"153/183/477/491/783/1113/1674/2740/27129/30819/4607/4624/4625/5020/6323/6445/8557/7136/10345",19
"GO:0030049","muscle filament sliding","4/634","14/18986",0.285714285714286,8.55610635421361,5.25670676401194,0.000943624149159669,0.065590456767953,0.0614394135012669,"4607/4620/4624/4625",4
"GO:0035357","peroxisome proliferator activated receptor signaling pathway","5/634","24/18986",0.208333333333333,6.23882754994742,4.77315878395773,0.00102487168385199,0.0699657937029668,0.0655378471515876,"247/59344/650/3952/5468",5
"GO:0007586","digestion","13/634","144/18986",0.0902777777777778,2.70349193831055,3.81387151747891,0.0010920025798852,0.0727319956668329,0.0681289836470575,"1645/6718/336/362/948/1131/3952/4583/4588/4986/5020/10891/5950",13
"GO:1903532","positive regulation of secretion by cell","21/634","298/18986",0.0704697986577181,2.11031482226409,3.59071624261278,0.00110344121074452,0.0727319956668329,0.0681289836470575,"27063/650/1131/2243/2244/2266/2668/2852/3623/3952/4826/4986/5020/5122/5468/5950/56729/6616/6860/7200/100507043",21
"GO:0006066","alcohol metabolic process","24/634","363/18986",0.0661157024793388,1.97992543733869,3.50372290026788,0.00122321416983881,0.0785268526124525,0.0735570997115969,"124/125/126/127/131/441282/1645/6718/27329/336/338/650/653/10170/2852/54363/117283/3952/3991/5105/5950/8608/5959/6799",24
"GO:0015670","carbon dioxide transport","4/634","15/18986",0.266666666666667,7.9856992639327,5.03058662876176,0.00125297881489919,0.0785268526124525,0.0735570997115969,"362/3040/3043/3045",4
"GO:0140966","piRNA-mediated heterochromatin formation","4/634","15/18986",0.266666666666667,7.9856992639327,5.03058662876176,0.00125297881489919,0.0785268526124525,0.0735570997115969,"84944/56165/91646/122402",4
"GO:0009410","response to xenobiotic stimulus","28/634","451/18986",0.0620842572062084,1.85919827652535,3.43236608716066,0.00130280208312554,0.0794398201787171,0.0744122880207045,"13/1244/32/107/9370/1645/218/268/27063/336/40/590/768/1393/1553/1548/1549/1555/2567/10249/2890/3777/4129/5122/6530/6799/10720/54490",28
"GO:0022600","digestive system process","11/634","112/18986",0.0982142857142857,2.94116155926093,3.82954297735747,0.00130910506703091,0.0794398201787171,0.0744122880207045,"1645/336/362/948/1131/3952/4583/4588/4986/5020/5950",11
"GO:0019915","lipid storage","10/634","97/18986",0.103092783505155,3.08725487007708,3.83058493449465,0.00148493945165747,0.0831616257408936,0.077898550537748,"32/130399/27329/338/948/1149/63924/3952/4023/5468",10
"GO:0048644","muscle organ morphogenesis","9/634","81/18986",0.111111111111111,3.32737469330529,3.90147389797157,0.00149506009069344,0.0831616257408936,0.077898550537748,"27063/650/4607/4618/4624/4625/29895/8557/129446",9
"GO:0002026","regulation of the force of heart contraction","5/634","26/18986",0.192307692307692,5.75891773841301,4.51319329882022,0.00150106738482485,0.0831616257408936,0.077898550537748,"153/477/1113/4624/4625",5
"GO:0032252","secretory granule localization","5/634","26/18986",0.192307692307692,5.75891773841301,4.51319329882022,0.00150106738482485,0.0831616257408936,0.077898550537748,"3798/8499/6616/6860/23025",5
"GO:0034440","lipid oxidation","11/634","114/18986",0.0964912280701754,2.88956223365986,3.76108277252129,0.00151213327561944,0.0831616257408936,0.077898550537748,"32/127/131/9370/247/59344/347/54363/51179/3952/10891",11
"GO:0050714","positive regulation of protein secretion","13/634","150/18986",0.0866666666666667,2.59535226077813,3.64599534764023,0.001585000767397,0.0831616257408936,0.077898550537748,"27063/1131/2243/2244/2266/2852/4826/5122/5468/5950/6616/7200/100507043",13
"GO:0045214","sarcomere organization","7/634","52/18986",0.134615384615385,4.0312424168891,4.06826640447983,0.0016244955517973,0.0831616257408936,0.077898550537748,"27063/4604/4606/4607/4624/4625/8557",7
"GO:0034374","low-density lipoprotein particle remodeling","4/634","16/18986",0.25,7.48659305993691,4.82448775389287,0.00162683061002916,0.0831616257408936,0.077898550537748,"183/185/336/338",4
"GO:0002791","regulation of peptide secretion","16/634","207/18986",0.0772946859903382,2.31469543882107,3.53494228414727,0.00163680014366711,0.0831616257408936,0.077898550537748,"130399/111/1113/1131/1393/2243/2244/2266/2852/3952/4826/5950/6279/6616/7200/100507043",16
"GO:0090087","regulation of peptide transport","16/634","207/18986",0.0772946859903382,2.31469543882107,3.53494228414727,0.00163680014366711,0.0831616257408936,0.077898550537748,"130399/111/1113/1131/1393/2243/2244/2266/2852/3952/4826/5950/6279/6616/7200/100507043",16
"GO:0007605","sensory perception of sound","14/634","169/18986",0.0828402366863905,2.48076456423945,3.59387032017929,0.00164067497178225,0.0831616257408936,0.077898550537748,"40/491/55584/53942/1302/1833/10804/375323/4647/283310/56914/22953/374462/84530",14
"GO:1905952","regulation of lipid localization","15/634","188/18986",0.0797872340425532,2.38933821061816,3.55827337963581,0.00165480097262876,0.0831616257408936,0.077898550537748,"32/9370/183/185/336/338/948/1149/3952/4023/5020/5443/5468/56729/374887",15
"GO:0016042","lipid catabolic process","23/634","351/18986",0.0655270655270655,1.96229789605184,3.38225716410439,0.00172009982239951,0.0831616257408936,0.077898550537748,"13/32/9370/6718/27329/336/338/1149/63924/1591/338328/54363/51179/3290/3952/3991/8513/4023/129807/5105/5140/5346/119548",23
"GO:0046461","neutral lipid catabolic process","6/634","39/18986",0.153846153846154,4.60713419073041,4.19114420961965,0.00172669390938635,0.0831616257408936,0.077898550537748,"13/336/338/338328/3991/4023",6
"GO:0046464","acylglycerol catabolic process","6/634","39/18986",0.153846153846154,4.60713419073041,4.19114420961965,0.00172669390938635,0.0831616257408936,0.077898550537748,"13/336/338/338328/3991/4023",6
"GO:0006576","biogenic amine metabolic process","10/634","99/18986",0.101010101010101,3.02488608482299,3.75443796151621,0.00173364731015024,0.0831616257408936,0.077898550537748,"26/3067/3642/4128/4129/4881/5409/6799/6999/7200",10
"GO:0002793","positive regulation of peptide secretion","11/634","116/18986",0.0948275862068965,2.83974219514848,3.69409655848365,0.00174023804846233,0.0831616257408936,0.077898550537748,"1131/2243/2244/2266/2852/4826/5950/6279/6616/7200/100507043",11
"GO:0010884","positive regulation of lipid storage","5/634","27/18986",0.185185185185185,5.54562448884215,4.3931492127587,0.00179221690990924,0.0835566493485734,0.0782685741657411,"32/338/948/1149/4023",5
"GO:0042730","fibrinolysis","5/634","27/18986",0.185185185185185,5.54562448884215,4.3931492127587,0.00179221690990924,0.0835566493485734,0.0782685741657411,"2243/2244/2266/3848/7448",5
"GO:0019229","regulation of vasoconstriction","8/634","68/18986",0.117647058823529,3.5231026164409,3.87400332507836,0.00187299444076636,0.0862705752656603,0.0808107430245678,"183/185/40/477/2243/2244/2266/3952",8
"GO:0035296","regulation of tube diameter","13/634","154/18986",0.0844155844155844,2.52794051374493,3.53856203392135,0.00200655753123015,0.0894028745845654,0.083744807559974,"153/183/185/40/477/2243/2244/2266/2852/3043/3952/4881/4922",13
"GO:0097746","blood vessel diameter maintenance","13/634","154/18986",0.0844155844155844,2.52794051374493,3.53856203392135,0.00200655753123015,0.0894028745845654,0.083744807559974,"153/183/185/40/477/2243/2244/2266/2852/3043/3952/4881/4922",13
"GO:0008202","steroid metabolic process","22/634","334/18986",0.0658682634730539,1.97251553674984,3.332846467361,0.00201115543140796,0.0894028745845654,0.083744807559974,"441282/1645/6718/27329/336/338/650/653/1591/1548/1555/10170/3290/3952/3991/8608/5959/866/6799/7365/10720/54490",22
"GO:0019433","triglyceride catabolic process","5/634","28/18986",0.178571428571429,5.34756647138351,4.27895004599509,0.00212266180922175,0.0912903439152478,0.0855128240427531,"13/338/338328/3991/4023",5
"GO:0050995","negative regulation of lipid catabolic process","5/634","28/18986",0.178571428571429,5.34756647138351,4.27895004599509,0.00212266180922175,0.0912903439152478,0.0855128240427531,"32/336/1149/63924/5140",5
"GO:0035150","regulation of tube size","13/634","155/18986",0.0838709677419355,2.51163122010787,3.51223235817941,0.00212525257872274,0.0912903439152478,0.0855128240427531,"153/183/185/40/477/2243/2244/2266/2852/3043/3952/4881/4922",13
"GO:0010883","regulation of lipid storage","7/634","55/18986",0.127272727272727,3.81135646687697,3.88077721715187,0.0022610252327482,0.0960433273866264,0.0899650039977705,"32/338/948/1149/3952/4023/5468",7
"GO:0050954","sensory perception of mechanical stimulus","15/634","196/18986",0.076530612244898,2.2918142020215,3.37888125754111,0.00248384460144764,0.104348768256421,0.0977448158950245,"40/491/55584/53942/1302/1833/10804/375323/4647/283310/56914/22953/374462/6323/84530",15
"GO:0006820","monoatomic anion transport","14/634","177/18986",0.0790960451977401,2.36863961218343,3.40017378657977,0.00252498589343222,0.104384119168338,0.0977779295429843,"1244/9635/117159/2556/2562/2567/55879/200959/8001/3775/10316/6557/8671/160728",14
"GO:0019373","epoxygenase P450 pathway","4/634","18/18986",0.222222222222222,6.65474938661059,4.46115254315267,0.0025939030397573,0.104384119168338,0.0977779295429843,"1553/1548/1549/1555",4
"GO:0030299","intestinal cholesterol absorption","4/634","18/18986",0.222222222222222,6.65474938661059,4.46115254315267,0.0025939030397573,0.104384119168338,0.0977779295429843,"1645/336/948/3952",4
"GO:0141005","retrotransposon silencing by heterochromatin formation","4/634","18/18986",0.222222222222222,6.65474938661059,4.46115254315267,0.0025939030397573,0.104384119168338,0.0977779295429843,"84944/56165/91646/122402",4
"GO:0010466","negative regulation of peptidase activity","15/634","198/18986",0.0757575757575758,2.26866456361725,3.3353956504917,0.00273765598543285,0.108521931806635,0.101653871169287,"59082/1447/1473/128822/80760/51050/5266/5858/866/6317/8710/3053/7980/7079/7448",15
"GO:0006584","catecholamine metabolic process","7/634","57/18986",0.12280701754386,3.67762466102164,3.76297662756795,0.00278188577479735,0.108521931806635,0.101653871169287,"3067/3642/4128/4129/4881/5409/6799",7
"GO:0009712","catechol-containing compound metabolic process","7/634","57/18986",0.12280701754386,3.67762466102164,3.76297662756795,0.00278188577479735,0.108521931806635,0.101653871169287,"3067/3642/4128/4129/4881/5409/6799",7
"GO:0010885","regulation of cholesterol storage","4/634","19/18986",0.210526315789474,6.30449941889424,4.29962039179944,0.00319976247305139,0.123562544792681,0.115742604288366,"338/948/4023/5468",4
"GO:0006641","triglyceride metabolic process","10/634","108/18986",0.0925925925925926,2.77281224442108,3.4340361203217,0.0033021128112289,0.126239772773281,0.118250397724218,"13/336/338/63924/338328/3991/8513/4023/5105/7148",10
"GO:0097006","regulation of plasma lipoprotein particle levels","9/634","91/18986",0.0989010989010989,2.9617291226124,3.48653891407961,0.00334971795866215,0.126791799564014,0.118767488226875,"9370/183/185/336/338/948/338328/4023/5567",9
"GO:0042886","amide transport","21/634","328/18986",0.0640243902439024,1.91729822266677,3.11474974478697,0.00350901877151812,0.129562312905206,0.121362663244217,"130399/111/364/100509620/1113/1131/1393/2243/2244/2266/2852/3952/4826/5950/6279/8170/6564/729025/6616/7200/100507043",21
"GO:0090276","regulation of peptide hormone secretion","15/634","204/18986",0.0735294117647059,2.20193913527556,3.20800377813919,0.00363055948056875,0.129562312905206,0.121362663244217,"130399/111/1113/1131/1393/2243/2244/2266/2852/3952/4826/5950/6616/7200/100507043",15
"GO:0055008","cardiac muscle tissue morphogenesis","7/634","60/18986",0.116666666666667,3.49374342797056,3.59588840378,0.00372976747560616,0.129562312905206,0.121362663244217,"27063/650/4607/4624/4625/8557/129446",7
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","3/634","10/18986",0.3,8.98391167192429,4.69376797121661,0.00373079127897926,0.129562312905206,0.121362663244217,"26835/26834/26831",3
"GO:0000365","mRNA trans splicing, via spliceosome","3/634","10/18986",0.3,8.98391167192429,4.69376797121661,0.00373079127897926,0.129562312905206,0.121362663244217,"26835/26834/26831",3
"GO:0002778","antibacterial peptide production","3/634","10/18986",0.3,8.98391167192429,4.69376797121661,0.00373079127897926,0.129562312905206,0.121362663244217,"354/25818/3960",3
"GO:0045291","mRNA trans splicing, SL addition","3/634","10/18986",0.3,8.98391167192429,4.69376797121661,0.00373079127897926,0.129562312905206,0.121362663244217,"26835/26834/26831",3
"GO:1905918","regulation of CoA-transferase activity","3/634","10/18986",0.3,8.98391167192429,4.69376797121661,0.00373079127897926,0.129562312905206,0.121362663244217,"183/185/336",3
"GO:0006821","chloride transport","11/634","128/18986",0.0859375,2.57351636435331,3.319989134734,0.00376898653579526,0.129562312905206,0.121362663244217,"9635/2556/2562/2567/55879/200959/8001/3775/10316/6557/160728",11
"GO:0050886","endocrine process","9/634","93/18986",0.0967741935483871,2.89803602320138,3.41038721956317,0.00387711706706999,0.129562312905206,0.121362663244217,"183/185/1393/3623/3952/4986/5443/5468/56729",9
"GO:0002523","leukocyte migration involved in inflammatory response","4/634","20/18986",0.2,5.98927444794953,4.14928005263939,0.00389532332920272,0.129562312905206,0.121362663244217,"3929/6279/6280/84675",4
"GO:0003299","muscle hypertrophy in response to stress","5/634","32/18986",0.15625,4.67912066246057,3.8714781439593,0.0038973753555058,0.129562312905206,0.121362663244217,"32/4624/4625/5468/8557",5
"GO:0014887","cardiac muscle adaptation","5/634","32/18986",0.15625,4.67912066246057,3.8714781439593,0.0038973753555058,0.129562312905206,0.121362663244217,"32/4624/4625/5468/8557",5
"GO:0014898","cardiac muscle hypertrophy in response to stress","5/634","32/18986",0.15625,4.67912066246057,3.8714781439593,0.0038973753555058,0.129562312905206,0.121362663244217,"32/4624/4625/5468/8557",5
"GO:0015844","monoamine transport","8/634","77/18986",0.103896103896104,3.11131140153222,3.45041715229727,0.00410722566495475,0.134204476214718,0.125711036546793,"1113/2668/4129/4986/5020/6570/6530/6860",8
